"hash_number_A","target"
2725446,0.002
2726395,0.044
2726698,0.126
2727363,0.086
2728080,0.05
2728406,0.05
2728443,0.072
2729538,0.072
2729645,0.114
2729890,0.114
2730222,0.002
2730915,0.058
2732355,0.026
2732566,0.02
2733787,0.032
2734145,0.024
2734766,0
2735307,0.064
2735397,0.112
2737349,0.102
2737360,0.09
2737627,0.13
2738275,0.002
2738829,0.008
2739474,0.086
2740872,0.006
2741007,0.004
2741653,0.07
2742388,0.224
2742502,0.044
2742671,0.066
2742866,0.268
2743097,0.02
2743099,0.004
2743437,0.116
2743442,0.134
2743563,0.016
2744224,0.168
2745387,0
2745514,0.004
2745891,0.138
2746033,0.146
2746513,0.08
2746596,0.004
2746700,0.136
2747324,0.178
2747743,0.224
2748373,0.076
2748582,0.084
2749282,0.07
2749468,0.214
2752857,0.004
2753558,0.014
2753727,0.01
2754263,0.212
2754390,0.02
2754516,0
2756315,0.006
2756751,0.068
2758358,0.192
2758404,0.208
2758518,0.004
2762092,0.058
2762501,0.012
2762773,0.014
2763485,0.084
2763497,0.002
2765504,0.006
2766228,0.012
2766663,0.01
2766993,0.03
2768187,0.182
2768932,0.014
2770160,0.19
2770972,0.076
2771198,0.128
2771664,0.282
2772262,0.006
2773611,0.112
2773985,0.154
2774059,0.118
2774431,0.008
2774557,0
2775829,0.094
2776390,0.024
2776628,0
2777720,0.03
2777842,0.042
2778505,0.016
2785035,0.194
2785159,0
2785450,0.046
2786627,0.076
2787595,0.234
2788190,0.074
2788803,0.014
2788886,0.006
2790312,0.06
2790631,0.118
2791033,0
2792082,0.062
2792187,0.008
2792291,0.002
2793562,0.012
2793685,0.138
2794175,0.27
2795616,0.018
2796890,0.01
2797126,0.214
2798136,0.006
2798314,0.204
2798716,0
2798986,0.062
2799085,0.12
2799883,0.174
2799894,0.074
2799987,0.228
2800470,0
2800694,0.062
2800861,0.16
2800951,0.136
2801938,0
2802385,0.006
2803509,0.054
2805979,0.026
2806069,0.006
2806632,0.016
2806646,0.006
2806708,0.002
2808670,0.062
2809781,0.026
2809998,0.082
2810690,0
2811335,0
2812853,0.02
2813249,0.006
2814143,0
2814896,0.004
2815696,0.032
2817343,0.012
2818271,0.018
2818535,0.126
2818901,0.004
2820480,0.026
2821449,0.262
2824536,0.226
2825310,0.006
2825806,0.16
2826571,0.016
